N° del Establecimiento,Nombre del Establecimiento,Direccion,Mesa,Total de votantes,Cantidad de votantes,Hora,GOB-Votos afirmativos,GOB-Votos en blanco,SEN-Votos afirmativos,SEN-Votos en blanco,DIP-Votos afirmativos,DIP-Votos en blanco,INT-Votos afirmativos,INT-Votos en blanco,CNJ-Votos afirmativos,CNJ-Votos en blanco,Votos nulos
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2872,348,195,19:00,182,13,181,14,180,15,178,17,176,19,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2873,348,212,19:00,202,10,193,19,190,22,197,15,190,22,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2874,348,203,19:00,192,11,188,15,182,21,185,18,179,24,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2875,348,224,19:00,203,21,198,26,199,25,197,27,192,32,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2876,348,196,19:00,180,16,177,19,177,19,174,22,168,28,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2877,348,188,19:00,166,22,165,23,165,23,167,21,166,22,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2878,348,209,19:00,192,17,188,21,188,21,188,21,183,26,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2879,348,194,19:00,184,10,177,17,176,18,182,12,179,15,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2880,348,200,19:00,193,6,187,12,187,12,185,14,183,16,1
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2881,348,213,19:00,197,16,193,20,193,20,198,15,191,22,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2882,348,210,19:00,197,13,188,22,189,21,191,19,188,22,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2883,348,221,19:00,205,16,205,16,201,20,209,12,209,12,0
5040,Colegio Secundario N° 5040,Pedro Ortiz de Zarate 343,2884,348,206,19:00,191,14,187,18,188,17,187,18,184,21,1
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2958,348,35,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2959,348,26,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2960,348,36,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2961,348,42,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2962,348,29,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2963,348,40,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2964,348,36,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2965,348,30,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2966,348,38,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2967,348,30,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2968,348,43,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2969,348,35,10:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2958,348,102,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2959,348,110,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2960,348,115,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2961,348,110,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2962,348,114,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2963,348,105,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2964,348,103,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2965,348,115,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2966,348,116,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2967,348,90,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2968,348,102,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2969,348,98,13:00,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2958,348,165,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2959,348,170,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2960,348,154,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2961,348,168,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2962,348,150,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2963,348,155,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2964,348,160,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2965,348,168,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2966,348,162,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2967,348,159,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2968,348,165,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2969,348,160,15:30,,,,,,,,,,,
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2958,348,219,19:00,199,20,196,23,198,21,199,20,196,23,0
4275,Escuela Osvaldo Burela,Pedro Ortiz de Zárate 200-250,2959,348,239,19:00,227,12,225,14,225,14,222,17,217,22,0
